ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603400.SH,20260518,87.84,12.6822,12.6822,0.83,70.6344,78.9996,7.1629,6.2659,6.0127,0.4554,1.0246,10000.0,2000.0,2000.0,878400.0,175680.0
600753.SH,20260518,13.73,0.8244,1.4117,0.7,87.0853,52.5358,35.9961,1.8143,1.4478,,,23030.7175,23030.7175,13448.9426,316211.7513,316211.7513
920028.BJ,20260518,21.76,13.0948,13.0948,0.55,32.1537,31.688,3.1551,4.2796,4.1785,,,16436.0,6495.96,6495.96,357647.36,141352.0896
688807.SH,20260518,445.0,32.207,32.207,2.6,403.9668,384.6066,19.7994,73.2315,70.2473,,,8000.0,1503.5656,1503.5656,3560000.0,669086.692
688785.SH,20260518,449.0,12.0448,12.0448,0.97,267.0236,315.3519,13.6189,57.4122,59.3285,,,6770.1688,1272.7665,1272.7665,3039805.7912,571472.1585
688811.SH,20260518,32.86,39.1923,39.1923,1.63,239.2588,229.9705,10.4793,28.688,26.7777,,,50167.3605,9212.6097,9212.6097,1648499.466,302726.3547
001312.SZ,20260518,24.6,16.6974,16.6974,1.17,24.9192,24.7748,2.4582,3.3366,3.3957,,,23333.3334,5716.0269,5716.0269,574000.0016,140614.2617
001367.SZ,20260518,23.33,1.0446,3.1015,0.42,26.1581,26.6092,2.3567,6.6779,6.8225,0.491,0.4972,15235.12,12163.7042,4096.9648,355435.3496,283779.219
301508.SZ,20260518,28.56,3.1924,3.1924,1.25,42.5884,42.4277,3.115,7.3384,7.1837,0.7388,0.7388,22608.52,5883.64,5883.64,645699.3312,168036.7584
688271.SH,20260518,109.7,0.8171,1.4593,0.93,48.3657,47.6322,4.1167,6.5513,6.3535,0.1905,0.1905,82415.7988,82415.7988,46144.2778,9041013.1284,9041013.1284
603119.SH,20260518,74.98,11.7963,11.7963,1.37,127.362,121.983,17.5051,25.7713,23.8655,0.1995,0.236,47285.9968,26503.8501,26503.8501,3545504.0401,1987258.6805
301550.SZ,20260518,190.58,6.7345,9.5479,1.44,255.3647,266.5204,23.5953,55.9223,54.7388,0.1722,0.1722,23127.5,14107.957,9950.8854,4407638.95,2688694.4451
001328.SZ,20260518,30.47,0.7468,2.6237,1.0,28.9717,27.6528,3.3343,3.0575,2.946,2.4614,2.4614,17217.38,16171.69,4603.12,524613.5686,492751.3943
920982.BJ,20260518,159.3,1.3937,1.7504,0.97,28.1078,29.3723,9.0042,11.4894,11.4256,1.5935,1.5935,11506.534,5490.5088,4371.6612,1832990.8662,874638.0518
301122.SZ,20260518,29.19,7.794,13.3244,2.13,634.8573,322.9328,1.9272,10.004,8.3896,0.8565,0.8565,12224.5658,7564.0658,4424.5658,356835.0757,220795.0807
688480.SH,20260518,92.85,3.9572,8.8415,1.13,83.389,73.4249,7.3366,7.1936,6.8521,0.6785,0.6785,9532.6179,9532.6179,4266.5607,885103.572,885103.572
