ts_code,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025
688111.SH,2372330500.0,279167400.0,2795348667.69,417180736.56,3270364301.43,469364469.63,3626818036.47,540259806.05,4178385237.73,603641144.61
688163.SH,,,149434599.86,23419502.41,166133808.11,38341848.84,173291573.09,36680661.47,175138574.09,37782811.72
688051.SH,362365262.09,230220960.64,218360729.82,160482559.64,216967192.11,172097585.96,239005541.51,179710610.34,165585737.36,134232116.19
688298.SH,7400700987.86,1701091138.3,7857758801.95,3492782650.94,652171856.12,409985623.8,657613863.02,429479876.84,671812093.43,392089040.09
688310.SH,193295941.21,102390387.9,197458228.88,97700897.79,329920089.5,147433737.94,219574032.71,112296942.2,224643650.85,134362178.2
002990.SZ,794339206.45,473502983.19,751947530.59,428264184.58,1143982640.28,673348745.32,912159180.9,542528436.27,952938418.25,588896017.8
605118.SH,358910562.08,200267867.13,442935719.05,264068475.72,463131858.39,280160728.49,455073331.83,262921222.34,617216350.8,309350120.83
300910.SZ,675667396.38,455703632.13,2041826717.68,1468703986.96,2152413374.35,1410641638.04,2300648255.4,1470480693.38,2550763303.96,1636166830.34
300866.SZ,8425191432.82,4699418055.76,9536524928.22,5829088476.93,11786465835.14,6683775456.06,16448654845.5,9165921587.43,21019233315.35,11627645573.43
300852.SZ,753885590.64,521552126.6,881749869.8,637581510.38,971014652.87,698494273.6,1038037016.93,781641771.5,1396169140.88,1088480113.46
300863.SZ,1577785290.51,1403718212.43,2060536313.0,1803512560.85,2494090838.68,2186944292.99,2568760342.73,2233398046.65,2854217855.02,2512582827.04
003027.SZ,595341310.14,363493781.25,620894143.97,420681924.85,533335120.33,407403065.32,405683917.12,328078112.5,561948086.43,416795258.19
605099.SH,1748909955.02,1230705841.44,1952430070.39,1419186575.55,1916274283.12,1306465213.3,2259058359.91,1577650974.83,2474132050.7,1631941955.72
300871.SZ,745909515.64,513723814.54,671478771.75,534125116.48,691386248.86,544725663.44,792553431.27,662167979.36,1259534029.86,889644031.92
002998.SZ,1079084259.99,935888538.87,1611862574.46,1494252210.59,1875810585.64,1718391956.52,1614066205.07,1430373908.45,1926272770.63,1799658202.87
300855.SZ,520792899.34,323327834.05,728939189.24,471476633.6,1065480129.74,685985972.07,1079703317.53,692793922.36,858814052.5,617947340.74
300856.SZ,743434726.62,521775246.38,1248968486.29,833966005.11,1774371261.48,894250737.89,1857623486.27,1016365023.67,1115942439.12,785109103.15
688505.SH,698113963.0,49044582.0,716265980.0,55072149.0,707960683.0,54968433.0,548848564.0,45054663.0,551075305.0,55030701.0
688599.SH,31264661294.11,27021407569.75,58198435608.94,50370820310.53,81119425198.21,67464909694.5,63147344138.17,55281084652.72,49970476447.61,47429070563.43
301073.SZ,211927432.33,137193394.91,247511077.4,158164371.16,381523384.08,223335165.77,503016707.35,347924594.66,505919166.92,360017236.94
300885.SZ,237834766.4,137041937.45,182798065.61,118683120.13,159590235.01,114415330.64,217171878.29,143519906.4,202532888.01,135670805.88
002997.SZ,659853402.25,479638166.77,828863274.78,628092111.85,1297770642.92,986561244.12,1725949365.37,1306804797.19,2604433466.48,1931683473.43
